Domain Code,Domain,Area_Code_(FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2014","2014","tonnes","90000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2016","2016","tonnes","17894","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2018","2018","tonnes","109086","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2020","2020","tonnes","131788","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2000","2000","ha","130000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2002","2002","ha","135000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2004","2004","ha","195000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2006","2006","ha","160000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2008","2008","ha","190000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2010","2010","ha","208000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2012","2012","ha","205000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2014","2014","ha","220000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2016","2016","ha","119000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2018","2018","ha","117539","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2020","2020","ha","147555","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2000","2000","hg/ha","20000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2002","2002","hg/ha","28741","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2004","2004","hg/ha","23744","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2006","2006","hg/ha","33750","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2008","2008","hg/ha","32211","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2010","2010","hg/ha","32308","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2012","2012","hg/ha","24390","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2014","2014","hg/ha","24409","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","29963","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2018","2018","hg/ha","29963","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2020","2020","hg/ha","29789","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2000","2000","tonnes","260000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2002","2002","tonnes","388000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2004","2004","tonnes","463000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2006","2006","tonnes","540000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2008","2008","tonnes","612000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2010","2010","tonnes","672000","","Official data"
